arm,dx_m,dt_s,c_mps,f0_hz,band_low_hz,band_high_hz,ppw_min,q_mode_max,q_full_spectrum,all_modes_spectral_stable,all_modes_strict_stable,all_modes_monotone,full_spectrum_stable,full_spectrum_strict,full_spectrum_safe,full_spectrum_monotone,grid_aliased_modes,valid_modes,invalid_modes,max_abs_spatial_error,min_signed_spatial_error,max_signed_spatial_error,max_abs_total_error,min_signed_total_error,max_signed_total_error,max_abs_temporal_increment,min_signed_temporal_increment,max_signed_temporal_increment,max_abs_phase_1s_rad,weighted_abs_spatial_error,weighted_abs_total_error,weighted_abs_temporal_increment,weighted_abs_phase_1s_rad,max_angular_anisotropy,max_abs_teacher_delta_phase_1s_rad,quadrature_valid_energy_fraction,worst_total_frequency_hz,worst_total_angle_deg
coarse_250us,10.0,0.00025,4500.0,8.0,3.6468322988295747,14.328992703762552,31.40485931588461,0.000506606872603379,0.16457142857142856,True,True,True,True,True,True,True,0,23478,0,4.038063217137733e-10,-4.038063217137733e-10,-3.3306690738754696e-16,7.602921625604608e-10,-7.602921625604608e-10,-1.495914503379936e-12,3.5648617391359494e-10,-3.5648617391359494e-10,-1.4953593918676233e-12,6.845040837824573e-08,1.462130432739733e-11,8.076948681888323e-11,6.61481824914859e-11,5.593845235595708e-09,3.784532687234332e-10,6.630158966270677e-08,0.9999999999999999,14.328992703762552,0.0
teacher,5.0,0.000125,5800.0,8.0,3.6468322988295747,14.328992703762552,80.95474845872478,0.0001266517181572634,0.27339174603174604,True,True,True,True,True,True,True,0,23478,0,2.0883295093199195e-13,-2.0883295093199195e-13,6.661338147750939e-16,2.2488122475294858e-11,-2.2488122475294858e-11,-9.314771176605063e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.325873406851315e-14,2.0246442655806382e-09,7.532987753059885e-15,4.1416847618173435e-12,4.1341749670202e-12,2.8084932003148594e-10,1.957323192414151e-13,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,5800.0,8.0,3.6468322988295747,14.328992703762552,80.95474845872478,0.003166292953931585,6.83479365079365,True,True,True,True,True,True,False,0,23478,0,2.0883295093199195e-13,-2.0883295093199195e-13,6.661338147750939e-16,1.3930954168017706e-08,-1.3930954168017706e-08,-5.84227111133373e-11,1.3930745446089077e-08,-1.3930745446089077e-08,-5.842282213563976e-11,1.2542277151562836e-06,7.532987753059885e-15,2.584520064779584e-09,2.5845125549847866e-09,1.752228910063828e-07,1.9562129693895258e-13,1.2522030908817599e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,5800.0,8.0,3.6468322988295747,14.328992703762552,80.95474845872478,0.0007915732384828963,1.7086984126984126,True,True,True,True,True,True,True,0,23478,0,2.0883295093199195e-13,-2.0883295093199195e-13,6.661338147750939e-16,8.705728360425269e-10,-8.705728360425269e-10,-3.650968416479827e-12,8.703641141138974e-10,-8.703641141138974e-10,-3.651190461084752e-12,7.837916670011663e-08,7.532987753059885e-15,1.615060530372118e-10,1.6149854324241467e-10,1.0949536527917137e-08,1.9562129693895258e-13,7.63545424255929e-08,0.9999999999999999,14.328992703762552,0.0
space_refined,2.5,0.000125,5800.0,8.0,3.6468322988295747,14.328992703762552,161.90949691744956,0.00012665171815726673,1.0935669841269842,True,True,True,True,True,True,True,0,23478,0,1.1102230246251565e-15,-1.1102230246251565e-15,6.661338147750939e-16,2.228028872508503e-11,-2.228028872508503e-11,-9.29256671611256e-14,2.2279289524362866e-11,-2.2279289524362866e-11,-9.325873406851315e-14,2.0059326363186257e-09,1.1040573948597441e-16,4.1341814075651795e-12,4.134189744246169e-12,2.8027987476774175e-10,1.3322676295501878e-15,1.872162479046462e-11,0.9999999999999999,14.328992703762552,3.0
coarse_125us,10.0,0.000125,5800.0,8.0,3.6468322988295747,14.328992703762552,40.47737422936239,0.00012665171815642198,0.06834793650793651,True,True,True,True,True,True,True,0,23478,0,5.3213544681796066e-11,-5.3213544681796066e-11,2.220446049250313e-16,7.549261216155401e-11,-7.549261216155401e-11,-9.325873406851315e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.325873406851315e-14,6.796729450157861e-09,1.924428270586978e-12,6.058606428975255e-12,4.134178214619077e-12,4.2629068351703803e-10,4.9878434715822095e-11,4.772085184577223e-09,0.9999999999999999,14.328992703762552,0.0
coarse_250us,10.0,0.00025,5800.0,8.0,3.6468322988295747,14.328992703762552,40.47737422936239,0.0005066068726256879,0.27339174603174604,True,True,True,True,True,True,True,0,23478,0,5.3213544681796066e-11,-5.3213544681796066e-11,2.220446049250313e-16,4.096994965507861e-10,-4.096994965507861e-10,-1.4953593918676233e-12,3.5648617391359494e-10,-3.5648617391359494e-10,-1.4954704141700859e-12,3.688594889209164e-08,1.924428270586978e-12,6.807260252760367e-11,6.614817431324749e-11,4.630589613232336e-09,4.987854573812456e-11,3.4861304626511004e-08,0.9999999999999999,14.328992703762552,0.0
teacher,5.0,0.000125,6000.0,8.0,3.6468322988295747,14.328992703762552,83.74629150902562,0.0001266517181572642,0.29257142857142854,True,True,True,True,True,True,True,0,23478,0,1.5909495942878493e-13,-1.5909495942878493e-13,4.440892098500626e-16,2.2438162439186726e-11,-2.2438162439186726e-11,-9.325873406851315e-14,2.2279289524362866e-11,-2.2279289524362866e-11,-9.336975637097567e-14,2.0201462777772696e-09,5.748749538756103e-15,4.139910774421621e-12,4.1341899713049315e-12,2.8071427951842857e-10,1.48991929904696e-13,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,6000.0,8.0,3.6468322988295747,14.328992703762552,83.74629150902562,0.003166292953931606,7.314285714285714,True,True,True,True,True,True,False,0,23478,0,1.5909495942878493e-13,-1.5909495942878493e-13,4.440892098500626e-16,1.39309043190039e-08,-1.39309043190039e-08,-5.842282213563976e-11,1.3930745335066774e-08,-1.3930745335066774e-08,-5.842304418024469e-11,1.2542232271640087e-06,5.748749538756103e-15,2.5845182786555096e-09,2.5845125578523927e-09,1.7522275528801875e-07,1.4921397450962104e-13,1.2522030908817599e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,6000.0,8.0,3.6468322988295747,14.328992703762552,83.74629150902562,0.0007915732384829015,1.8285714285714285,True,True,True,True,True,True,True,0,23478,0,1.5909495942878493e-13,-1.5909495942878493e-13,4.440892098500626e-16,8.705228760064188e-10,-8.705228760064188e-10,-3.65107943878229e-12,8.703641141138974e-10,-8.703641141138974e-10,-3.651301483387215e-12,7.837466871231327e-08,5.748749538756103e-15,1.6150426875219513e-10,1.6149854794907845e-10,1.0949400935784806e-08,1.48991929904696e-13,7.63545424255929e-08,0.9999999999999999,14.328992703762552,0.0
