split,sample_id,family,parent_relative_l2,cpadc_relative_l2,relative_improvement_fraction,nonworse,adaptation_accepted,all_saved_time_indices,prediction_sealed_before_truth
validation,validation_layered_00001,layered,5.683864090422104,5.683864090422104,0.0,True,False,401,True
validation,validation_layered_00002,layered,6.480503064672824,6.480503064672824,0.0,True,False,401,True
validation,validation_layered_00003,layered,5.075684527955991,5.075684527955991,0.0,True,False,401,True
validation,validation_layered_00004,layered,5.508239367641808,5.508239367641808,0.0,True,False,401,True
validation,validation_layered_00005,layered,5.211690988791343,5.212139692591392,-8.609562635504045e-05,False,True,401,True
validation,validation_layered_00006,layered,4.471142530751792,4.471142530751792,0.0,True,False,401,True
validation,validation_layered_00007,layered,5.264061130333605,5.264061130333605,0.0,True,False,401,True
validation,validation_layered_00008,layered,5.135021827273584,5.135021827273584,0.0,True,False,401,True
validation,validation_layered_00009,layered,5.22333306328355,5.22333306328355,0.0,True,False,401,True
validation,validation_layered_00010,layered,4.984154608175484,4.984154608175484,0.0,True,False,401,True
validation,validation_layered_00011,layered,5.369193465779522,5.369193465779522,0.0,True,False,401,True
validation,validation_layered_00012,layered,5.311969828750499,5.311969828750499,0.0,True,False,401,True
validation,validation_layered_00013,layered,4.672244355596212,4.571633245716717,0.02153378595427867,True,True,401,True
validation,validation_layered_00014,layered,5.618862178931409,5.618862178931409,0.0,True,False,401,True
validation,validation_layered_00015,layered,5.1558079020518575,5.080233509195538,0.014658108737186107,True,True,401,True
validation,validation_layered_00016,layered,4.611969453438934,4.452795884643794,0.034513144634219436,True,True,401,True
validation,validation_layered_00017,layered,5.241828969522925,5.241828969522925,0.0,True,False,401,True
validation,validation_layered_00018,layered,5.556715642929354,5.382944457511776,0.03127228323059736,True,True,401,True
validation,validation_layered_00019,layered,4.74254264103046,4.74254264103046,0.0,True,False,401,True
validation,validation_layered_00020,layered,5.532782841805044,5.532782841805044,0.0,True,False,401,True
validation,validation_layered_00021,layered,5.535002518544125,5.493403610125382,0.007515607857335745,True,True,401,True
validation,validation_layered_00022,layered,6.246884345705787,6.246884345705787,0.0,True,False,401,True
validation,validation_layered_00023,layered,5.502398798703074,5.502398798703074,0.0,True,False,401,True
validation,validation_layered_00024,layered,4.4877273825458595,4.3770408488554855,0.024664273084160068,True,True,401,True
validation,validation_layered_00025,layered,4.7156477329198925,4.694966841752971,0.004385588648309769,True,True,401,True
validation,validation_layered_00026,layered,5.2262963569900425,5.2262963569900425,0.0,True,False,401,True
validation,validation_layered_00027,layered,4.566651739878607,4.566651739878607,0.0,True,False,401,True
validation,validation_layered_00028,layered,5.176487732518169,5.176487732518169,0.0,True,False,401,True
validation,validation_layered_00029,layered,5.887786644710294,5.8173417103344836,0.01196458680089908,True,True,401,True
validation,validation_layered_00030,layered,5.109643413502156,5.109643413502156,0.0,True,False,401,True
validation,validation_layered_00031,layered,5.315036028769776,5.315036028769776,0.0,True,False,401,True
validation,validation_layered_00032,layered,5.453851481371267,5.35682810801249,0.017789881827581816,True,True,401,True
validation,validation_layered_00033,layered,5.343418140074526,5.343418140074526,0.0,True,False,401,True
validation,validation_layered_00034,layered,5.358982980308688,5.358982980308688,0.0,True,False,401,True
validation,validation_layered_00035,layered,5.054455202886566,5.054455202886566,0.0,True,False,401,True
validation,validation_layered_00036,layered,4.995102373144159,4.995102373144159,0.0,True,False,401,True
validation,validation_layered_00037,layered,5.159830646462478,5.159830646462478,0.0,True,False,401,True
validation,validation_layered_00038,layered,5.286002318505585,5.286002318505585,0.0,True,False,401,True
validation,validation_layered_00039,layered,5.576359408183175,5.576359408183175,0.0,True,False,401,True
validation,validation_layered_00040,layered,4.944353948505024,4.944353948505024,0.0,True,False,401,True
validation,validation_layered_00041,layered,5.579782618258861,5.579782618258861,0.0,True,False,401,True
validation,validation_layered_00042,layered,4.927792246605292,4.927792246605292,0.0,True,False,401,True
validation,validation_layered_00043,layered,5.543566697857663,5.543566697857663,0.0,True,False,401,True
validation,validation_layered_00044,layered,6.646186455583725,6.497435674202622,0.02238137349519155,True,True,401,True
validation,validation_layered_00045,layered,4.911399031830022,4.911399031830022,0.0,True,False,401,True
validation,validation_layered_00046,layered,5.472834420226645,5.472834420226645,0.0,True,False,401,True
validation,validation_layered_00047,layered,3.8834500090311463,3.800557702471782,0.021345017025220958,True,True,401,True
validation,validation_layered_00048,layered,5.4751202561773775,5.4751202561773775,0.0,True,False,401,True
validation,validation_layered_00049,layered,6.156181365903681,6.156181365903681,0.0,True,False,401,True
validation,validation_layered_00050,layered,5.341943927813729,5.341943927813729,0.0,True,False,401,True
validation,validation_layered_00051,layered,5.05113464309613,5.05113464309613,0.0,True,False,401,True
validation,validation_layered_00052,layered,5.304594680542933,5.304594680542933,0.0,True,False,401,True
validation,validation_layered_00053,layered,5.024545038269685,4.99752885362455,0.005376841970639189,True,True,401,True
validation,validation_layered_00054,layered,5.027464958680863,5.027464958680863,0.0,True,False,401,True
validation,validation_layered_00055,layered,4.975756524504339,4.94535976425633,0.006108972595084334,True,True,401,True
validation,validation_layered_00056,layered,5.230557061969906,5.230557061969906,0.0,True,False,401,True
validation,validation_layered_00057,layered,5.473514232210035,5.461947458663272,0.0021132261753693347,True,True,401,True
validation,validation_layered_00058,layered,5.091017774767139,5.091017774767139,0.0,True,False,401,True
validation,validation_layered_00059,layered,5.621100934985459,5.621100934985459,0.0,True,False,401,True
validation,validation_layered_00060,layered,5.436622117694658,5.436622117694658,0.0,True,False,401,True
validation,validation_layered_00061,layered,5.120644933773352,5.120644933773352,0.0,True,False,401,True
validation,validation_layered_00062,layered,4.919954165996939,4.919954165996939,0.0,True,False,401,True
validation,validation_layered_00063,layered,5.248068689306603,5.248068689306603,0.0,True,False,401,True
validation,validation_layered_00064,layered,4.6228475419319475,4.538005073177026,0.018352858921984787,True,True,401,True
validation,validation_layered_00065,layered,5.430081604008349,5.430081604008349,0.0,True,False,401,True
validation,validation_layered_00066,layered,4.765242480437108,4.661654473900994,0.02173824458280479,True,True,401,True
validation,validation_layered_00067,layered,4.816193404054047,4.760359784023305,0.011592894085969214,True,True,401,True
validation,validation_layered_00068,layered,5.393870694840893,5.393870694840893,0.0,True,False,401,True
validation,validation_layered_00069,layered,5.312152690097389,5.312152690097389,0.0,True,False,401,True
validation,validation_layered_00070,layered,5.146178246272696,5.134279079670698,0.002312233667890715,True,True,401,True
validation,validation_layered_00071,layered,5.806424662365108,5.806424662365108,0.0,True,False,401,True
validation,validation_layered_00072,layered,5.141572034792779,5.141572034792779,0.0,True,False,401,True
validation,validation_layered_00073,layered,5.430685557273356,5.3903559515709505,0.007426245780036311,True,True,401,True
validation,validation_layered_00074,layered,5.068222323618483,4.980912078485432,0.01722699588890858,True,True,401,True
validation,validation_layered_00075,layered,4.896287332891423,4.72301506688848,0.035388500351881916,True,True,401,True
validation,validation_layered_00076,layered,4.775129080480863,4.775129080480863,0.0,True,False,401,True
validation,validation_layered_00077,layered,5.207942604784223,5.068960113042267,0.02668664044305733,True,True,401,True
validation,validation_layered_00078,layered,4.896991490829336,4.896991490829336,0.0,True,False,401,True
validation,validation_layered_00079,layered,5.08101744174529,5.08101744174529,0.0,True,False,401,True
validation,validation_layered_00080,layered,5.628152612726072,5.628152612726072,0.0,True,False,401,True
validation,validation_layered_00081,layered,5.313241866757153,5.313241866757153,0.0,True,False,401,True
validation,validation_layered_00082,layered,6.353964326662741,6.353964326662741,0.0,True,False,401,True
validation,validation_layered_00083,layered,5.419754405026557,5.419754405026557,0.0,True,False,401,True
validation,validation_layered_00084,layered,4.9666182936946255,4.9666182936946255,0.0,True,False,401,True
validation,validation_layered_00085,layered,4.840385384414536,4.719677299766185,0.024937701249370902,True,True,401,True
validation,validation_layered_00086,layered,5.330700420498455,5.330700420498455,0.0,True,False,401,True
validation,validation_layered_00087,layered,4.744783337274891,4.63543260721811,0.023046517044882538,True,True,401,True
validation,validation_layered_00088,layered,5.7981277844357635,5.7981277844357635,0.0,True,False,401,True
validation,validation_layered_00089,layered,5.353440075815971,5.353440075815971,0.0,True,False,401,True
validation,validation_layered_00090,layered,5.461623641667187,5.379522955861419,0.015032285487307324,True,True,401,True
validation,validation_layered_00091,layered,5.105729007785068,5.034531885651901,0.01394455562067787,True,True,401,True
validation,validation_layered_00092,layered,5.341864997517826,5.258276078894649,0.015647890514271175,True,True,401,True
validation,validation_layered_00093,layered,5.442094183815201,5.442094183815201,0.0,True,False,401,True
validation,validation_layered_00094,layered,4.773653096363668,4.762620090493616,0.002311229083331548,True,True,401,True
validation,validation_layered_00095,layered,5.360380187923499,5.360380187923499,0.0,True,False,401,True
validation,validation_layered_00096,layered,5.108526443698956,5.108526443698956,0.0,True,False,401,True
validation,validation_layered_00097,layered,4.799586781115971,4.799586781115971,0.0,True,False,401,True
validation,validation_layered_00098,layered,4.56244167002079,4.56244167002079,0.0,True,False,401,True
validation,validation_layered_00099,layered,4.794342160375397,4.673357889210658,0.02523480117140108,True,True,401,True
validation,validation_layered_00100,layered,4.260564988890892,4.260564988890892,0.0,True,False,401,True
validation,validation_layered_00101,layered,5.288023183059258,5.16585264054057,0.023103253955102647,True,True,401,True
validation,validation_layered_00102,layered,4.929503026010342,4.7652481266927555,0.03332078273426375,True,True,401,True
validation,validation_layered_00103,layered,5.1580634497133175,5.1580634497133175,0.0,True,False,401,True
validation,validation_layered_00104,layered,4.657441860695753,4.583011126705174,0.015981033412075726,True,True,401,True
validation,validation_layered_00105,layered,5.209074972640276,5.209074972640276,0.0,True,False,401,True
validation,validation_layered_00106,layered,4.997872120390837,4.9192562885757205,0.015729860612953946,True,True,401,True
validation,validation_layered_00107,layered,4.946956578100346,4.891827897664667,0.011143958829096669,True,True,401,True
validation,validation_layered_00108,layered,5.572783405711332,5.572783405711332,0.0,True,False,401,True
validation,validation_layered_00109,layered,5.235666920869825,5.096969653696952,0.026490850023330053,True,True,401,True
validation,validation_layered_00110,layered,5.089832463219037,4.976025584357463,0.02235965126239096,True,True,401,True
validation,validation_layered_00111,layered,4.941867463515592,4.941867463515592,0.0,True,False,401,True
validation,validation_layered_00112,layered,5.152518896952232,5.051143178000188,0.019674982465762395,True,True,401,True
validation,validation_layered_00113,layered,4.798652063317117,4.798652063317117,0.0,True,False,401,True
validation,validation_layered_00114,layered,5.027567957558718,4.916938019484774,0.02200466289224736,True,True,401,True
validation,validation_layered_00115,layered,5.104498975664493,5.104498975664493,0.0,True,False,401,True
validation,validation_layered_00116,layered,4.558604813756678,4.558604813756678,0.0,True,False,401,True
validation,validation_layered_00117,layered,4.470923578041336,4.318159063451427,0.03416844683729381,True,True,401,True
validation,validation_layered_00118,layered,4.551950152537325,4.551950152537325,0.0,True,False,401,True
validation,validation_layered_00119,layered,4.672604470638955,4.672604470638955,0.0,True,False,401,True
validation,validation_layered_00120,layered,4.8097397942871725,4.683820933765542,0.026179973534367088,True,True,401,True
validation,validation_layered_00121,layered,4.856411670776997,4.808281594191043,0.009910625344134696,True,True,401,True
validation,validation_layered_00122,layered,5.124031565649565,5.124031565649565,0.0,True,False,401,True
validation,validation_layered_00123,layered,4.759613427812522,4.759613427812522,0.0,True,False,401,True
validation,validation_layered_00124,layered,5.343052186978135,5.343052186978135,0.0,True,False,401,True
validation,validation_layered_00125,layered,5.22660815564262,5.22660815564262,0.0,True,False,401,True
validation,validation_layered_00126,layered,4.687836602936453,4.687836602936453,0.0,True,False,401,True
validation,validation_layered_00127,layered,5.349251709537618,5.2407954022156655,0.02027504279310256,True,True,401,True
validation,validation_layered_00128,layered,4.673312107394456,4.673312107394456,0.0,True,False,401,True
validation,validation_layered_00129,layered,4.600602795335583,4.600602795335583,0.0,True,False,401,True
validation,validation_layered_00130,layered,5.093984458914727,4.995147287620408,0.01940272336743189,True,True,401,True
validation,validation_layered_00131,layered,4.843295557755776,4.762312829507732,0.016720583594854677,True,True,401,True
validation,validation_layered_00132,layered,4.987936511890178,4.987936511890178,0.0,True,False,401,True
validation,validation_layered_00133,layered,4.821702479533403,4.701447319728886,0.024940394044419452,True,True,401,True
validation,validation_layered_00134,layered,5.058916849686087,5.070111008764828,-0.0022127580688414772,False,True,401,True
validation,validation_layered_00135,layered,5.034545514720637,5.034545514720637,0.0,True,False,401,True
validation,validation_layered_00136,layered,5.192382464417052,5.192382464417052,0.0,True,False,401,True
validation,validation_layered_00137,layered,5.574628512397549,5.574628512397549,0.0,True,False,401,True
validation,validation_layered_00138,layered,5.69715483535502,5.69715483535502,0.0,True,False,401,True
validation,validation_layered_00139,layered,6.013570073671864,6.013570073671864,0.0,True,False,401,True
validation,validation_layered_00140,layered,5.348559137902009,5.224103344529786,0.02326903193240948,True,True,401,True
validation,validation_layered_00141,layered,5.266256016954454,5.078199098958696,0.035709794090966716,True,True,401,True
validation,validation_layered_00142,layered,5.043676483435099,4.923578422857685,0.0238116106320163,True,True,401,True
validation,validation_layered_00143,layered,4.787776467294323,4.706984421353357,0.016874648700260578,True,True,401,True
validation,validation_layered_00144,layered,5.1629530004833395,4.962666264700474,0.0387930581130829,True,True,401,True
validation,validation_layered_00145,layered,4.949107564679946,4.949107564679946,0.0,True,False,401,True
validation,validation_layered_00146,layered,5.024755215376595,4.981856173393767,0.008537538674829167,True,True,401,True
validation,validation_layered_00147,layered,4.567943974525278,4.464789358699951,0.02258228568489547,True,True,401,True
validation,validation_layered_00148,layered,5.333538134580001,5.333538134580001,0.0,True,False,401,True
validation,validation_layered_00149,layered,5.0448280408996675,4.920619645490119,0.024620937404121593,True,True,401,True
validation,validation_layered_00150,layered,4.776455680218773,4.776455680218773,0.0,True,False,401,True
validation,validation_layered_00151,layered,5.0310094988642735,5.0310094988642735,0.0,True,False,401,True
validation,validation_layered_00152,layered,5.045231505128684,4.913476603002307,0.02611473863834451,True,True,401,True
validation,validation_layered_00153,layered,4.894463717156232,4.788970944001918,0.021553489667220774,True,True,401,True
validation,validation_layered_00154,layered,5.115163347043122,4.967765434807793,0.02881587590365689,True,True,401,True
validation,validation_layered_00155,layered,4.807423868830098,4.807423868830098,0.0,True,False,401,True
validation,validation_layered_00156,layered,5.380793940553274,5.380793940553274,0.0,True,False,401,True
validation,validation_layered_00157,layered,4.741955407622746,4.741955407622746,0.0,True,False,401,True
validation,validation_layered_00158,layered,5.05861427801279,5.029254160047357,0.0058039843229492506,True,True,401,True
validation,validation_layered_00159,layered,5.583531052112106,5.569973263174454,0.0024281747179545135,True,True,401,True
validation,validation_layered_00160,layered,4.606374582052291,4.606374582052291,0.0,True,False,401,True
validation,validation_layered_00161,layered,5.340314206083326,5.340314206083326,0.0,True,False,401,True
validation,validation_layered_00162,layered,4.8692930427764844,4.756095424737763,0.023247238776612115,True,True,401,True
validation,validation_layered_00163,layered,4.6518756982607705,4.547923147272244,0.022346373319345542,True,True,401,True
validation,validation_layered_00164,layered,5.154730022265618,5.154730022265618,0.0,True,False,401,True
validation,validation_layered_00165,layered,4.969933153838924,4.8370224616597035,0.026742953690746585,True,True,401,True
validation,validation_layered_00166,layered,4.964481399727412,4.8735330918467135,0.018319800308989474,True,True,401,True
validation,validation_layered_00167,layered,5.015058641454324,5.015058641454324,0.0,True,False,401,True
validation,validation_layered_00168,layered,4.862264816609117,4.862264816609117,0.0,True,False,401,True
validation,validation_layered_00169,layered,5.403393773606585,5.403393773606585,0.0,True,False,401,True
validation,validation_layered_00170,layered,4.603595286760099,4.5377919618602744,0.014293898746719552,True,True,401,True
validation,validation_layered_00171,layered,4.733297027191418,4.549069905366864,0.038921521460880765,True,True,401,True
validation,validation_layered_00172,layered,6.58530428514489,6.58530428514489,0.0,True,False,401,True
validation,validation_layered_00173,layered,4.237361581517023,4.237361581517023,0.0,True,False,401,True
validation,validation_layered_00174,layered,4.663984529879202,4.50938541885179,0.03314743220887494,True,True,401,True
validation,validation_layered_00175,layered,5.067429309321477,4.9181091597434445,0.029466646787427192,True,True,401,True
validation,validation_layered_00176,layered,4.76220418766811,4.76220418766811,0.0,True,False,401,True
validation,validation_layered_00177,layered,4.882173244567359,4.882173244567359,0.0,True,False,401,True
validation,validation_layered_00178,layered,5.033556057616116,5.033556057616116,0.0,True,False,401,True
validation,validation_layered_00179,layered,5.152941029817318,5.152941029817318,0.0,True,False,401,True
validation,validation_layered_00180,layered,5.288726849378711,5.288726849378711,0.0,True,False,401,True
validation,validation_layered_00181,layered,5.065153627006515,5.037397372838803,0.005479844484818857,True,True,401,True
validation,validation_layered_00182,layered,4.928813738772777,4.928813738772777,0.0,True,False,401,True
validation,validation_layered_00183,layered,5.044410076781035,5.044410076781035,0.0,True,False,401,True
validation,validation_layered_00184,layered,5.8073697702386955,5.7629667523534716,0.007645977377362502,True,True,401,True
validation,validation_layered_00185,layered,7.000815878807177,6.894998423920975,0.0151150175519587,True,True,401,True
validation,validation_layered_00186,layered,6.331594348756453,6.242830167647827,0.014019246372923394,True,True,401,True
validation,validation_layered_00187,layered,5.142113896333451,5.11934820702181,0.004427301644927423,True,True,401,True
validation,validation_layered_00188,layered,6.165735767072891,6.165735767072891,0.0,True,False,401,True
validation,validation_layered_00189,layered,6.177149868152014,6.092687273414968,0.013673392509467279,True,True,401,True
validation,validation_layered_00190,layered,6.307989230074542,6.307989230074542,0.0,True,False,401,True
validation,validation_layered_00191,layered,6.254506549026153,6.254506549026153,0.0,True,False,401,True
validation,validation_layered_00192,layered,5.224306697123318,5.224306697123318,0.0,True,False,401,True
validation,validation_layered_00193,layered,5.969217075485216,5.969217075485216,0.0,True,False,401,True
validation,validation_layered_00194,layered,5.303083844928921,5.303083844928921,0.0,True,False,401,True
validation,validation_layered_00195,layered,5.6144380165305785,5.6144380165305785,0.0,True,False,401,True
validation,validation_layered_00196,layered,4.76477897446027,4.76477897446027,0.0,True,False,401,True
validation,validation_layered_00197,layered,4.879787608689614,4.8349780642955755,0.00918268334348081,True,True,401,True
validation,validation_layered_00198,layered,4.761702374698853,4.673480946347954,0.018527287387733484,True,True,401,True
validation,validation_layered_00199,layered,5.345943136561053,5.345943136561053,0.0,True,False,401,True
validation,validation_layered_00200,layered,5.096709108645805,5.081448333615932,0.002994240931660226,True,True,401,True
validation,validation_layered_00201,layered,4.918745782144998,4.918745782144998,0.0,True,False,401,True
validation,validation_layered_00202,layered,5.2001458936773135,5.2001458936773135,0.0,True,False,401,True
validation,validation_layered_00203,layered,5.038242677416265,4.93900880721151,0.019696127510801836,True,True,401,True
validation,validation_layered_00204,layered,6.458894559036582,6.458894559036582,0.0,True,False,401,True
validation,validation_layered_00205,layered,5.080744364845232,5.080744364845232,0.0,True,False,401,True
validation,validation_layered_00206,layered,5.7803774123309735,5.7803774123309735,0.0,True,False,401,True
validation,validation_layered_00207,layered,6.105428438439594,6.105428438439594,0.0,True,False,401,True
validation,validation_layered_00208,layered,5.21047643778214,5.21047643778214,0.0,True,False,401,True
validation,validation_layered_00209,layered,4.932775267075186,4.801904665715115,0.02653082580785575,True,True,401,True
validation,validation_layered_00210,layered,4.788974314255616,4.788974314255616,0.0,True,False,401,True
validation,validation_layered_00211,layered,4.980529249487988,4.980529249487988,0.0,True,False,401,True
