record_id,slice_rank,case_id,role,record_relative_l2,late_relative_l2,spectrum_high_relative_l2,receiver_relative_l2
marm_r03_interp_left_deep,3,interp_left_deep,interpolation,0.5055474042892456,0.694757878780365,0.8250188231468201,0.44333919882774353
marm_r03_interp_left_shallow,3,interp_left_shallow,interpolation,0.5084602236747742,0.75074702501297,0.7460222244262695,0.42201507091522217
marm_r03_interp_right_deep,3,interp_right_deep,interpolation,0.4646017849445343,0.6891962289810181,0.6998899579048157,0.2772316634654999
marm_r03_interp_right_shallow,3,interp_right_shallow,interpolation,0.4618310332298279,0.5861769914627075,0.807351291179657,0.3222976624965668
marm_r04_extrap_deep,4,extrap_deep,outside_train_position_range,0.6744134426116943,0.9092678427696228,0.9477625489234924,0.601101815700531
marm_r04_extrap_left,4,extrap_left,outside_train_position_range,0.5589117407798767,0.7216009497642517,0.7068694829940796,0.8055832386016846
marm_r04_extrap_right,4,extrap_right,outside_train_position_range,0.5376762747764587,0.7446950078010559,0.6085309982299805,0.46085068583488464
marm_r04_interp_center,4,interp_center,interpolation,0.49014219641685486,0.6640319228172302,0.9786747097969055,0.4347114562988281
marm_r04_interp_left_deep,4,interp_left_deep,interpolation,0.4611697196960449,0.6652513742446899,0.8605530261993408,0.49102944135665894
marm_r04_interp_left_shallow,4,interp_left_shallow,interpolation,0.4710823595523834,0.5978347659111023,0.7207645177841187,0.48754608631134033
marm_r04_interp_right_deep,4,interp_right_deep,interpolation,0.5247762799263,0.7405103445053101,0.7323268055915833,0.38196733593940735
marm_r04_interp_right_shallow,4,interp_right_shallow,interpolation,0.5324491858482361,0.6869362592697144,0.8484383821487427,0.537297785282135
marm_r05_extrap_deep,5,extrap_deep,outside_train_position_range,0.6679682731628418,0.901964545249939,0.8836778998374939,0.44503048062324524
marm_r05_extrap_left,5,extrap_left,outside_train_position_range,0.6341649889945984,0.7543702721595764,0.7687652707099915,0.6437227725982666
marm_r05_extrap_right,5,extrap_right,outside_train_position_range,0.5292519927024841,0.6914005279541016,0.6764283776283264,0.32699111104011536
marm_r05_interp_center,5,interp_center,interpolation,0.441060334444046,0.6078235507011414,0.9372797012329102,0.36389532685279846
marm_r05_interp_left_deep,5,interp_left_deep,interpolation,0.5092626214027405,0.7222821116447449,0.8290245532989502,0.4863108992576599
marm_r05_interp_left_shallow,5,interp_left_shallow,interpolation,0.4975002110004425,0.7434655427932739,0.7320811748504639,0.36772266030311584
marm_r05_interp_right_deep,5,interp_right_deep,interpolation,0.4738856554031372,0.7025933861732483,0.6944140195846558,0.2653522789478302
