scheme,courant_axis,points_per_wavelength,angle_deg,phase_velocity_ratio,phase_error_percent,stable
fd2,0.25,5.0,70.0,0.9523656920551903,-4.763430794480971,True
fd2,0.25,5.0,75.0,0.9470661270988412,-5.293387290115881,True
fd2,0.25,5.0,80.0,0.942724002296258,-5.727599770374203,True
fd2,0.25,5.0,85.0,0.9398791408921026,-6.012085910789744,True
fd2,0.25,5.0,90.0,0.9388891287875112,-6.1110871212488815,True
fd2,0.25,5.1,0.0,0.9412392721566856,-5.876072784331443,True
fd2,0.25,5.1,5.0,0.942190938040984,-5.780906195901602,True
fd2,0.25,5.1,10.0,0.9449258353518035,-5.507416464819648,True
fd2,0.25,5.1,15.0,0.9491007629561871,-5.0899237043812935,True
fd2,0.25,5.1,20.0,0.9541973006502367,-4.580269934976333,True
fd2,0.25,5.1,25.0,0.959591406934476,-4.040859306552402,True
fd2,0.25,5.1,30.0,0.9646329195953264,-3.5367080404673623,True
fd2,0.25,5.1,35.0,0.9687235285189202,-3.1276471481079815,True
fd2,0.25,5.1,40.0,0.9713842617800386,-2.861573821996144,True
fd2,0.25,5.1,45.0,0.9723066340103564,-2.769336598964356,True
fd2,0.25,5.1,50.0,0.9713842617800386,-2.861573821996144,True
fd2,0.25,5.1,55.0,0.9687235285189202,-3.1276471481079815,True
fd2,0.25,5.1,60.0,0.9646329195953264,-3.5367080404673623,True
fd2,0.25,5.1,65.0,0.959591406934476,-4.040859306552402,True
fd2,0.25,5.1,70.0,0.9541973006502367,-4.580269934976333,True
fd2,0.25,5.1,75.0,0.9491007629561871,-5.0899237043812935,True
fd2,0.25,5.1,80.0,0.9449258353518035,-5.507416464819648,True
fd2,0.25,5.1,85.0,0.942190938040984,-5.780906195901602,True
fd2,0.25,5.1,90.0,0.9412392721566856,-5.876072784331443,True
fd2,0.25,5.2,0.0,0.9434569293821449,-5.654307061785513,True
fd2,0.25,5.2,5.0,0.9443724313905929,-5.562756860940709,True
fd2,0.25,5.2,10.0,0.9470036052442318,-5.299639475576823,True
fd2,0.25,5.2,15.0,0.9510207747425475,-4.897922525745246,True
fd2,0.25,5.2,20.0,0.9559256675150204,-4.407433248497961,True
fd2,0.25,5.2,25.0,0.9611180461408405,-3.888195385915949,True
fd2,0.25,5.2,30.0,0.9659720301985314,-3.4027969801468605,True
fd2,0.25,5.2,35.0,0.96991118982996,-3.008881017003995,True
fd2,0.25,5.2,40.0,0.9724737497614712,-2.7526250238528838,True
fd2,0.25,5.2,45.0,0.9733621506127709,-2.663784938722913,True
fd2,0.25,5.2,50.0,0.9724737497614712,-2.7526250238528838,True
fd2,0.25,5.2,55.0,0.96991118982996,-3.008881017003995,True
fd2,0.25,5.2,60.0,0.9659720301985314,-3.4027969801468605,True
fd2,0.25,5.2,65.0,0.9611180461408405,-3.888195385915949,True
fd2,0.25,5.2,70.0,0.9559256675150204,-4.407433248497961,True
fd2,0.25,5.2,75.0,0.9510207747425475,-4.897922525745246,True
fd2,0.25,5.2,80.0,0.9470036052442318,-5.299639475576823,True
fd2,0.25,5.2,85.0,0.9443724313905929,-5.562756860940709,True
fd2,0.25,5.2,90.0,0.9434569293821449,-5.654307061785513,True
fd2,0.25,5.3,0.0,0.9455518316984021,-5.444816830159793,True
fd2,0.25,5.3,5.0,0.9464331899444597,-5.356681005554032,True
fd2,0.25,5.3,10.0,0.9489664187587546,-5.103358124124535,True
fd2,0.25,5.3,15.0,0.9528345748848943,-4.716542511510569,True
fd2,0.25,5.3,20.0,0.9575583753277508,-4.244162467224921,True
fd2,0.25,5.3,25.0,0.9625600516428638,-3.7439948357136155,True
fd2,0.25,5.3,30.0,0.9672366816823249,-3.2763318317675094,True
fd2,0.25,5.3,35.0,0.9710325572530203,-2.896744274697971,True
fd2,0.25,5.3,40.0,0.9735022123044201,-2.6497787695579866,True
fd2,0.25,5.3,45.0,0.9743584603944325,-2.5641539605567476,True
fd2,0.25,5.3,50.0,0.9735022123044201,-2.6497787695579866,True
fd2,0.25,5.3,55.0,0.9710325572530203,-2.896744274697971,True
fd2,0.25,5.3,60.0,0.9672366816823249,-3.2763318317675094,True
fd2,0.25,5.3,65.0,0.9625600516428638,-3.7439948357136155,True
fd2,0.25,5.3,70.0,0.9575583753277508,-4.244162467224921,True
fd2,0.25,5.3,75.0,0.9528345748848943,-4.716542511510569,True
fd2,0.25,5.3,80.0,0.9489664187587546,-5.103358124124535,True
fd2,0.25,5.3,85.0,0.9464331899444597,-5.356681005554032,True
